ID,organizationName,category,additionalOrgDonateCondition,donateLink,viewLink,missionStatement,region,logo
87,A Secret Safe Place for Newborns of Tennessee Inc,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=87,secretsafeplacetn,"The mission of A Secret Safe Place for Newborns of Tennessee is to protect the most defenseless among us, newborn infants, by educating and informing women and communities about safe, secret options under the Safe Haven Law. Our vision is to save lives by increasing the safe surrender and eliminating the unsafe abandonment of newborns in every community of our state.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/87?thumbnail=1&maxWidth=290&maxHeight=164
2652,A Soldier's Child Inc.,Community Improvement,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2652,ASC,"Our mission is to serve the children of military personnel who have lost their lives on active duty while defending the United States of America. ASC has three points of service for the children of our fallen: birthday celebrations, mentorship programs/camps, and college scholarships. Our vision is to grow nationally, becoming a household name as the gold standard for our Gold Star families. Providing an opportunity for lifelong touch-points so that ASC recipients will say it is an honor to be A Soldier's Child.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2652?thumbnail=1&maxWidth=290&maxHeight=164
555,A Step Ahead Foundation of Middle Tennessee Inc.,Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=555,AStepAheadMiddleTN,"Mission: A Step Ahead of Middle Tennessee prevents unplanned pregnancies by providing education about and access to free long-acting reversible contraception (LARC). 

Vision:  A Step Ahead Foundation of Middle Tennessee improves educational, economic, and health outcomes for women and their children in Middle Tennessee. By providing access to long-acting reversible contraception (LARC), the most effective reversible methods of birth control, we hope to increase positive pregnancy outcomes for both the mother and the child, lower infant mortality, and improve family life. We hope to reduce economic strain and encourage career opportunities before child birth. We provide a means for women to plan each child and every step of her life through education and long-acting reversible contraception (LARC).",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/555?thumbnail=1&maxWidth=290&maxHeight=164
1241,A Time 4 Paws,Animals,TRUE,index.php?section=organizations&action=newDonation_org&fwID=1241,ATime4Paws,A Time 4 Paws is a NO KILL animal welfare organization that promotes the education and programs necessary to eliminate the killing of homeless dogs and cats and to prevent cruelty to animals.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/1241?thumbnail=1&maxWidth=290&maxHeight=164
2653,A Work of Life,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=2653,AWorkoflife,"A Work of Life is a faith-based, charitable organization established to partner with, and provide resources for, organizations seeking to provide educational, physical, and emotional support to underserved individuals in local and international communities.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2653?thumbnail=1&maxWidth=290&maxHeight=164
242,"A.B.L.E. Youth, Inc.",Youth Development,TRUE,index.php?section=organizations&action=newDonation_org&fwID=242,ABLEYouth,"To reach and teach all children in wheelchairs the importance of complete independence, which in turn leads to self-esteem, motivation, and a desire to excel. The children of A.B.L.E. Youth are taught to Adapt, Believe, Love and Enjoy life as it pertains to them. As the children show signs of independence, they are introduced to all types of wheelchair sports and recreation which further enhance their belief they are truly 'capABLE' of anything in life.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/242?thumbnail=1&maxWidth=290&maxHeight=164
4123,ABC Sports Foundation,Community Improvement,TRUE,index.php?section=organizations&action=newDonation_org&fwID=4123,abc-sports-foundation,"As a non-profit organization, our mission at A.B.C. Sports Foundation is to provide current and former athletes with resources to make a meaningful impact in their communities. We focus on mentoring youth through financial literacy, social justice, health and wellness, education, and, of course, sports! Our main purpose at A.B.C. Sports Foundation is to connect Athletes and Businesses through Community Initiatives. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/4123?thumbnail=1&maxWidth=290&maxHeight=164
291,Abe's Garden,Health,TRUE,index.php?section=organizations&action=newDonation_org&fwID=291,abesgarden,"Abe's Garden® Community is establishing a replicable model for senior life that is focused on brain health, wellness and purposeful living. 
",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/291?thumbnail=1&maxWidth=290&maxHeight=164
719,Abintra Montessori School,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=719,abintra,The mission of Abintra Montessori School is to assist in the development of the individual child and adolescent by providing a quality education based on Montessori principles and philosophy.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/719?thumbnail=1&maxWidth=290&maxHeight=164
3964,AbleVoices,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=3964,ablevoices,"To amplify the voices of people with disabilities through the powerful medium of photography, ultimately fostering more inclusive communities.


",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/3964?thumbnail=1&maxWidth=290&maxHeight=164
435,"abrasiveMedia, Inc.",Arts & Culture,FALSE,index.php?section=organizations&action=newDonation_org&fwID=435,abrasiveMedia,"abrasiveMedia exists to help artists grow, connect, produce, and give back to their communities. We like to say that we're not an arts organization, but an artists' organization. We believe that people are the greatest works of art. By supporting people who make art, we support the arts! 

We incubate big ideas from artists (of all kinds) who can benefit from a safe place to birth their stories and grow them until they are strong enough to stand on their own. We particularly love helping to create platforms for our artists to share their passions for social justice as well as art that comes from a place of profound vulnerability.

We are based in Nashville, Tennessee. Since 2004, we've served over 350 artists and helped them get their work in front of over 30,000 audience members. Because we work with artists from many backgrounds, we have developed systems and processes to make collaboration across genres a positive and life-giving experience. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/435?thumbnail=1&maxWidth=290&maxHeight=164
1314,The Achiever Academy,Education (excluding Colleges/Universities),FALSE,index.php?section=organizations&action=newDonation_org&fwID=1314,theachieveracademy,"Our  mission is to support, mentor and teach girls and young adult women to be  poised, persistent, and prosperous through sophisticated and inspiring experiences. The Achiever Academy's main mission is to keep girls in school. Therefore, the Period Project Nashville facilitates the delivery of period products to girls through the Metro Nashville Public School system. We also hosts fine dining,  networking and service experiences (Period Projects) that include leadership  events and soft skills workshops focused on three outcomes: career success,  community impact, and a prosperous life.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/1314?thumbnail=1&maxWidth=290&maxHeight=164
924,ACLU Foundation of Tennessee,Community Improvement,FALSE,index.php?section=organizations&action=newDonation_org&fwID=924,aclutn,"The ACLU's mission is to protect and promote the constitutional guarantees of the Bill of Rights and translate them into realities for Tennesseans. The American Civil Liberties Union of Tennessee (ACLU-TN) is dedicated to translating the guarantees of the Bill of Rights into reality for all Tennesseans. We are an enduring guardian of justice, freedom, fairness and equality, working to protect and advance civil liberties and civil rights for all Tennesseans. Our goal is to preserve the Bill of Rights for future generations.ACLU-TN uses an integrative advocacy model - including advocacy, legislative lobbying, litigation, organizing and public education - to strategically pursue its mission to protect your constitutional rights.We also work to extend rights to individuals and communities who have traditionally been denied their rights, including people of color; lesbians, gay men, bisexuals and transgender people; women; mental-health patients; prisoners; people with disabilities; and the poor. If the rights of society's most vulnerable members are denied, everybody's rights are imperiled.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/924?thumbnail=1&maxWidth=290&maxHeight=164
1146,Actors Bridge Ensemble Theater of Nashville Inc,Youth Development,TRUE,index.php?section=organizations&action=newDonation_org&fwID=1146,actorsbridge,"Actors Bridge Ensemble is a non-profit acting school and professional theater company established in Nashville in 1995. Our mission is to tell the stories Nashville needs to hear as we produce socially conscious plays responsive to the current cultural moment, create new work, train theater artists, and become a safe home for our artists and audiences to find their authentic voices on stage and in life. 

The company is led by co-founder and Producing Artistic Director Vali Forrister.

Actors Bridge Ensemble has 4 program areas: 
 
1. Acting School (Meisner Technique training)

2. Professional Season of Plays

3. Act Like a GRRRL 

4. Directors Inclusion Initiative

In the last 26 years, our Acting School trained over 5,000 actors in the Meisner Technique, the acting method taught in most professional conservatories and graduate schools. We have produced 24 Seasons that have included over 100 plays, 90% of which were either Nashville Premieres or World Premieres of new plays. We have collaborated on 5 devised theater pieces. 

For the last 17 years, Act Like a GRRRL  has inspired hundreds of teenage girls to find their voice and speak their truths and has created 19 original scripts and performances. 

Now in its third year, the Directors Inclusion Initiative trains emerging theater directors of color through workshops with regional faculty, panels with local professionals, and ongoing mentoring culminating in a biannual showcase festival of their work.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/1146?thumbnail=1&maxWidth=290&maxHeight=164
2658,Actors Point Theatre Company Inc,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2658,ActorsPoint,"Our Mission:  Provide exceptional theater experiences that inspire hope, instill dreams and rouse connection while investing in the next generation of performers.  Our intended impact is well summarized by Oscar Wilde: ""I regard the theatre as the greatest of all art forms - the most immediate way in which a human being can share with one another the sense of what it is to be a human being."" The APTC shared theatre experience creates ties that bind us together and elevates our perspective. Our theatre has the ability - and responsibility - to provide this outlet. More important is the opportunity we have to invest in our youth. We are committed to offering a place where students disconnect from their electronic devices and truly connect with one another. Time and again we have witnessed our youth develop cognitive, social and emotional skills while expanding their own confidence and self-awareness. We continuously seek opportunities to serve the underserved and have never turned away a student for lack of funds.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2658?thumbnail=1&maxWidth=290&maxHeight=164
3928,The Addis Clinic Inc.,Health,FALSE,index.php?section=organizations&action=newDonation_org&fwID=3928,addisclinic,"The Addis Clinic deploys the knowledge and expertise of volunteer physicians in Tennessee and around the world to drive quality improvements to public health systems in Africa. We train, equip, and mentor health workers on the frontlines of global health challenges in order to improve the lives of the most vulnerable people in the world.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/3928?thumbnail=1&maxWidth=290&maxHeight=164
2660,Adult and Teen Challenge of Memphis & Nashville Inc.,Health,FALSE,index.php?section=organizations&action=newDonation_org&fwID=2660,atctn,"Our mission is to provide teens & adults freedom from addictions and other life-controlling issues through Christ-centered solutions. Adult and Teen Challenge of Memphis and Middle Tennessee is a long-term, faith-based drug and alcohol treatment program for adult males, ages 18 and up. We are a highly structured program for men who have reached their rock bottom and are ready for a complete and total life change. We offer an opportunity at a new way of life through the freedom that only the Gospel of Jesus Christ can provide. Our program focuses on Christian principles while helping men develop life skills that will aid them in the practical side of their recovery. They will develop rational skills focusing on family relationship and healthy friendships. Work skills will also be developed while in our program, one of our goals is to not only help men gain and maintain sobriety, but give them the practical skills necessary to be productive members of society. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2660?thumbnail=1&maxWidth=290&maxHeight=164
2661,Adult Education Advisory Council of Wilson County Tennessee Inc,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=2661,Wilson,"The mission of the Adult Education Advisory Council is to give support to the Adult Learning Center, a program designed to provide quality instruction for participants who are seeking to become more educated and better citizens, thus allowing them to participate more in family, workplace, and community environments.",FALSE,
344,Adventure Science Center Nashville,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=344,adventuresci,"Our mission is to open every mind to the wonders of science and technology, fostering a better understanding of ourselves and the world around us.


",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/344?thumbnail=1&maxWidth=290&maxHeight=164
4000,Advocates for Immigrant Rights,Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=4000,advocatesforimmigrantrights,"The mission of Advocates for Immigrant Rights (AIR) is to fight for the dignity, safety, and inclusion of immigrants in the United States, especially those most marginalized, through legal representation and advocacy.

We fight for the rights of immigrants but also for the expansion of those rights to ensure that all people are equally protected by the laws of the United States. AIR seeks to create structural and systemic change by coordinating with other legal service providers and community-based organizations to complement our skills and build our mutual capacity. Our service model inherently provides for relationships that will propel our work and the work of our partners.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/4000?thumbnail=1&maxWidth=290&maxHeight=164
725,Advocates for Women's and Kids' Equality (AWAKE) Inc.,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=725,awake,AWAKE advocates for the systemic advancement of women and young people in Tennessee through education initiatives and policy change.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/725?thumbnail=1&maxWidth=290&maxHeight=164
979,Affordable Housing of Nashville/Affordable Housing Resources Inc,Housing & Shelter,TRUE,index.php?section=organizations&action=newDonation_org&fwID=979,AHR,It is the mission of Affordable Housing Resources to create affordable housing and strong neighborhoods.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/979?thumbnail=1&maxWidth=290&maxHeight=164
2662,African American Cultural Alliance,Arts & Culture,FALSE,index.php?section=organizations&action=newDonation_org&fwID=2662,AfricanAmericanCulturalAlliance,The African American Cultural Alliance seeks to enhance the awareness of cultural and historical backgrounds and contributions to this world by people of African descent.,FALSE,
2663,African American Heritage Society Museum Inc,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2663,AAHSM,"The mission of the African American Heritage Society Museum is to promote cultural and historical preservation, encourage tourism, create family legacies and educate the public about the rich black heritage of Franklin and Williamson County, Tennessee.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2663?thumbnail=1&maxWidth=290&maxHeight=164
2664,African American Heritage Society of Maury County,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2664,AAHSMaury,"To preserve the heritage and history of African Americans in this county by  Expanding      the knowledge base and raising the community's consciousness regarding the      historical and cultural heritage of African Americans;Documenting      the contributions of individuals to their community, county, state, or      country;Organizing      and sponsoring seminars, forums, workshops, programs and events,      sponsoring exhibits, and issuing publications;Identifying,      acquiring, and supporting the maintenance of places with historic      significance, which includes, but are not limited to, cemeteries,      churches, and schools.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2664?thumbnail=1&maxWidth=290&maxHeight=164
2665,African Leadership,Religious Institution,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2665,africanleadership,African Leadership exists to enable Africa's leaders to cultivate and equip the next generation to lead and build thriving communities.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2665?thumbnail=1&maxWidth=290&maxHeight=164
2667,After Deployment,Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=2667,afterdeployment,"Our mission is to provide healing through the arts, Holistic Health, education ,support, care giver respite, and life skills training to service members, veterans and their family members. We will provide services for honorable and dishonorable discharged service members and their families in serviced, underserved, and disadvantaged communities. We will engage them with respect and provide our services on a level which everyone can understand and benefit from.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2667?thumbnail=1&maxWidth=290&maxHeight=164
3961,"After The Impact Fund, Inc.",Human Services,FALSE,index.php?section=organizations&action=newDonation_org&fwID=3961,aftertheimpact,"To facilitate customized treatment for veterans and retired pro athletes with unseen traumatic injuries from the battlefield or field of play, focusing on, Transition, Addiction,  PTSD, Transition, Addiction and Suicide prevention. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/3961?thumbnail=1&maxWidth=290&maxHeight=164
4264,After School Academy,Community Improvement,TRUE,index.php?section=organizations&action=newDonation_org&fwID=4264,ASA,"We aspire to be one of the premier youth-serving organizations in the city by bonding with youth and their families, creating safe spaces for youth to grow, promoting character development, and improving educational outcomes. We do this by interactive activities with volunteers and youth in some of the city's highest crime and lowest income neighborhoods. ASA is a safe haven, offering a variety of programs and other events to attract, engage, and develop an active membership base for hundreds of youth in Nashville. We do this through after-school initiatives and summer programming  for students in all grade levels. ",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/4264?thumbnail=1&maxWidth=290&maxHeight=164
639,Agape Animal Rescue,Animals,TRUE,index.php?section=organizations&action=newDonation_org&fwID=639,agaperescue,"Agape Animal Rescue is dedicated to finding forever families for abandoned and displaced dogs through our signature foster and adoption program while cultivating better communities through dog training, owner education and outreach programs",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/639?thumbnail=1&maxWidth=290&maxHeight=164
462,AGAPE/Association for Guidance Aid Placement & Empathy,Human Services,TRUE,index.php?section=organizations&action=newDonation_org&fwID=462,AGAPE,Our mission is to strengthen children and families with the healing love of Christ through counseling and social services.,FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/462?thumbnail=1&maxWidth=290&maxHeight=164
980,Akiva School,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=980,AkivaNashville,"To pursue excellence, foster critical inquiry, and inspire informed Jewish living",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/980?thumbnail=1&maxWidth=290&maxHeight=164
2670,Aldersgate Renewal Ministries,Religious Institution,TRUE,index.php?section=organizations&action=newDonation_org&fwID=2670,Aldersgate,"Aldersgate Renewal Ministries is a Christian organization incorporated in 1978 to offer opportunities for every follower of Jesus to experience transforming growth, through the love of the Father, by the power of the Holy Spirit. In the book of Acts, Jesus said they would have the power to fulfill the Great Commission when the Holy Spirit came upon them. He said, 'You will be my witnesses' locally, nationally, and globally. Empowered by the Holy Spirit, the Church in Acts 2, demonstrated the Gospel to the world in word and in deed. The Church walked in power, unity, generosity, sacrificial care, relational nurture, and in joy. God empowered their witness day by day, adding to their number, those who were being saved.That is our vision: To see every church reach their fullest Acts 2 potential where God has uniquely placed them. How does that happen? By the empowerment of the Holy Spirit. That is why our mission is to equip the local church to minister in the power of the Holy Spirit. Within United Methodism, there are more than 30,000 local churches just within the United States. Imagine the transformational impact on the world if every local church in every place were carrying on the ministry of Jesus as modeled in the Scriptures. We believe that is possible.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2670?thumbnail=1&maxWidth=290&maxHeight=164
542,ALIAS Chamber Ensemble,Arts & Culture,TRUE,index.php?section=organizations&action=newDonation_org&fwID=542,ALIAS,"ALIAS is a nonprofit chamber ensemble with a mission dedicated to an innovative repertoire, artistic excellence, and a desire to give back to the community.  Its wide-ranging repertoire brings Nashville audiences a mix of chamber music that cannot be heard anywhere else. The core values embodied by the organization's mission and everyone involved with ALIAS include innovation, quality, serving the community and collaboration. All activities seek to fulfill these values.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/542?thumbnail=1&maxWidth=290&maxHeight=164
2674,Alignment Nashville,Education (excluding Colleges/Universities),TRUE,index.php?section=organizations&action=newDonation_org&fwID=2674,AlignmentNashville,"Alignment Nashville mobilizes strategic partners to challenge and address systemic barriers in order to equitably impact the growth, development and academic achievement of each Metro Nashville Public Schools student.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/2674?thumbnail=1&maxWidth=290&maxHeight=164
88,Alive Hospice,Health,TRUE,index.php?section=organizations&action=newDonation_org&fwID=88,alivehospice,"We provide loving care to people with life-threatening illnesses, support to their families, and service to the community in a spirit of enriching lives.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/88?thumbnail=1&maxWidth=290&maxHeight=164
1227,All About Rescue and Fixin Inc,Animals,FALSE,index.php?section=organizations&action=newDonation_org&fwID=1227,aarftn,"To make a difference in our community by rescuing as many abandoned cats and dogs as possible in order to grant them the chance to live the lives they have been given.  To educate the public on the need for spay and neuter, humane care, and the unconditional love that these animals have to offer in exchange for offering them a safe haven in their homes and hearts.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/1227?thumbnail=1&maxWidth=290&maxHeight=164
557,All American Dachshund Rescue,Animals,TRUE,index.php?section=organizations&action=newDonation_org&fwID=557,AllAmericanDachshundRescue,"Our Mission StatementThe Mission of All American Dachshund Rescue is to Protect the Welfare of Dachshunds, to Promote the Humane Treatment and Well Being of these Animals by:Providing shelter and medical care for stray and abandoned Dachshunds;Responding with personal commitment, humane sensitivity, compassion, and technical skill to the needs of these Dachshunds;Actively promoting suitable adoptions of Dachshunds;Encouraging spaying and neutering to ensure the numbers of unwanted Dachshunds be kept to a minimum;Helping to prevent cruelty to animals by promoting animal welfare education.",FALSE,https://ddb9l06w3jzip.cloudfront.net/uploadedFiles/giving_cfmt/organizations/logo/557?thumbnail=1&maxWidth=290&maxHeight=164
